seed,policy,views,tokens,redemptions,CTR,conversion_given_token,utilization_stock
0,random,2730,360,360,0.13186813186813187,1.0,1.0
0,thompson,2536,360,360,0.14195583596214512,1.0,1.0
1,random,2375,360,360,0.15157894736842106,1.0,1.0
1,thompson,2582,360,360,0.139426800929512,1.0,1.0
2,random,2595,360,360,0.13872832369942195,1.0,1.0
2,thompson,2813,360,360,0.12797724848915748,1.0,1.0
3,random,2572,360,360,0.13996889580093314,1.0,1.0
3,thompson,2495,360,360,0.14428857715430862,1.0,1.0
4,random,2578,360,360,0.13964313421256788,1.0,1.0
4,thompson,2514,360,360,0.1431980906921241,1.0,1.0
5,random,2821,360,360,0.12761432116270827,1.0,1.0
5,thompson,2573,360,360,0.13991449669646328,1.0,1.0
6,random,2603,360,360,0.13830195927775643,1.0,1.0
6,thompson,2716,360,360,0.1325478645066274,1.0,1.0
7,random,2635,360,360,0.1366223908918406,1.0,1.0
7,thompson,2793,360,360,0.1288936627282492,1.0,1.0
8,random,2642,360,360,0.13626040878122633,1.0,1.0
8,thompson,2562,360,360,0.1405152224824356,1.0,1.0
9,random,2511,360,360,0.14336917562724014,1.0,1.0
9,thompson,2603,360,360,0.13830195927775643,1.0,1.0
10,random,2540,360,360,0.14173228346456693,1.0,1.0
10,thompson,2676,360,360,0.13452914798206278,1.0,1.0
11,random,2689,360,360,0.1338787653402752,1.0,1.0
11,thompson,2610,360,360,0.13793103448275862,1.0,1.0
12,random,2492,360,360,0.14446227929373998,1.0,1.0
12,thompson,2581,360,360,0.13948082138705928,1.0,1.0
13,random,2672,360,360,0.1347305389221557,1.0,1.0
13,thompson,2657,360,360,0.13549115543846443,1.0,1.0
14,random,2749,360,360,0.13095671153146599,1.0,1.0
14,thompson,2551,360,360,0.14112112896903176,1.0,1.0
15,random,2810,360,360,0.12811387900355872,1.0,1.0
15,thompson,2520,360,360,0.14285714285714285,1.0,1.0
16,random,2532,360,360,0.14218009478672985,1.0,1.0
16,thompson,2737,360,360,0.13153087321885276,1.0,1.0
17,random,2627,360,360,0.13703844689760183,1.0,1.0
17,thompson,2610,360,360,0.13793103448275862,1.0,1.0
18,random,2501,360,360,0.1439424230307877,1.0,1.0
18,thompson,2570,360,360,0.14007782101167315,1.0,1.0
19,random,2606,360,360,0.13814274750575595,1.0,1.0
19,thompson,2749,360,360,0.13095671153146599,1.0,1.0
